bed_id,facility_id,department,bed_type,status
B00001,F01645,Cardiology,Private,Occupied
B00002,F00693,Neurology,Emergency,Available
B00003,F01239,Orthopedics,General,Occupied
B00004,F00959,Dermatology,General,Occupied
B00005,F00114,Neurology,General,Available
B00006,F01209,Orthopedics,Emergency,Available
B00007,F00921,Orthopedics,General,Occupied
B00008,F01149,Dermatology,Private,Available
B00009,F01129,Oncology,Emergency,Occupied
B00010,F00237,Dermatology,ICU,Available
B00011,F00653,Orthopedics,Private,Occupied
B00012,F01829,Cardiology,Private,Available
B00013,F00158,Neurology,Private,Occupied
B00014,F01498,General Medicine,Emergency,Available
B00015,F00908,General Medicine,Private,Occupied
B00016,F01529,Emergency,Emergency,Occupied
B00017,F00961,Oncology,General,Occupied
B00018,F01298,Oncology,ICU,Occupied
B00019,F01914,Oncology,General,Occupied
B00020,F00853,Pediatrics,Private,Available
B00021,F01141,Cardiology,Emergency,Occupied
B00022,F00886,Oncology,Emergency,Occupied
B00023,F01598,Emergency,General,Occupied
B00024,F01560,Emergency,Private,Occupied
B00025,F00060,Cardiology,ICU,Occupied
B00026,F00401,Cardiology,Emergency,Available
B00027,F01898,Orthopedics,Emergency,Occupied
B00028,F00828,Cardiology,Private,Occupied
B00029,F01801,General Medicine,Emergency,Occupied
B00030,F01204,Cardiology,Private,Available
B00031,F01256,Dermatology,Private,Available
B00032,F00476,Orthopedics,ICU,Maintenance
B00033,F00655,Neurology,Private,Occupied
B00034,F00845,Emergency,General,Available
B00035,F00924,Oncology,ICU,Available
B00036,F01269,Cardiology,Private,Available
B00037,F01617,Dermatology,Private,Occupied
B00038,F00638,Dermatology,ICU,Available
B00039,F00649,Emergency,Emergency,Occupied
B00040,F01592,Neurology,ICU,Occupied
B00041,F00213,Pediatrics,Emergency,Occupied
B00042,F01630,Orthopedics,ICU,Available
B00043,F01919,Emergency,ICU,Maintenance
B00044,F01483,Cardiology,General,Available
B00045,F00990,Pediatrics,ICU,Available
B00046,F00804,Pediatrics,General,Available
B00047,F00128,Neurology,Private,Available
B00048,F00952,Emergency,Emergency,Occupied
B00049,F00217,Emergency,Emergency,Occupied
B00050,F00711,General Medicine,General,Available
B00051,F00020,General Medicine,Emergency,Occupied
B00052,F01591,General Medicine,Emergency,Available
B00053,F01782,Emergency,ICU,Available
B00054,F01787,Emergency,General,Occupied
B00055,F01084,General Medicine,Emergency,Available
B00056,F00675,Orthopedics,Private,Occupied
B00057,F00714,Dermatology,General,Occupied
B00058,F00739,Dermatology,ICU,Occupied
B00059,F01153,Dermatology,Private,Available
B00060,F01998,Oncology,Emergency,Maintenance
B00061,F00557,Cardiology,Emergency,Occupied
B00062,F00197,Cardiology,General,Occupied
B00063,F00936,Orthopedics,Emergency,Occupied
B00064,F01516,Neurology,General,Occupied
B00065,F00678,Dermatology,Emergency,Occupied
B00066,F00504,Dermatology,Private,Occupied
B00067,F01271,Cardiology,ICU,Available
B00068,F00738,Emergency,Private,Available
B00069,F00792,Pediatrics,ICU,Occupied
B00070,F01284,Emergency,General,Occupied
B00071,F01371,Oncology,Emergency,Available
B00072,F00197,Cardiology,Private,Occupied
B00073,F01131,Oncology,Emergency,Occupied
B00074,F00781,Oncology,General,Occupied
B00075,F00744,Orthopedics,ICU,Available
B00076,F01941,Neurology,Private,Occupied
B00077,F01637,Cardiology,ICU,Available
B00078,F01184,Orthopedics,ICU,Occupied
B00079,F00422,Pediatrics,General,Occupied
B00080,F01631,General Medicine,ICU,Available
B00081,F01952,Pediatrics,General,Occupied
B00082,F01231,Pediatrics,ICU,Occupied
B00083,F01337,Dermatology,ICU,Occupied
B00084,F00432,Neurology,Private,Available
B00085,F00926,Cardiology,General,Available
B00086,F00235,Oncology,Emergency,Occupied
B00087,F00327,General Medicine,Emergency,Available
B00088,F00934,Orthopedics,Emergency,Occupied
B00089,F00479,General Medicine,Private,Occupied
B00090,F00428,Cardiology,Private,Occupied
B00091,F00666,Neurology,ICU,Occupied
B00092,F01124,Cardiology,ICU,Occupied
B00093,F01262,Orthopedics,Emergency,Occupied
B00094,F01131,General Medicine,ICU,Occupied
B00095,F00858,Pediatrics,ICU,Occupied
B00096,F01388,Cardiology,Private,Available
B00097,F00642,Oncology,Emergency,Occupied
B00098,F00811,Emergency,General,Occupied
B00099,F01517,Neurology,Emergency,Occupied
B00100,F01067,Neurology,Private,Occupied
B00101,F00575,General Medicine,Emergency,Available
B00102,F01097,Pediatrics,General,Occupied
B00103,F01722,Orthopedics,ICU,Occupied
B00104,F01019,Pediatrics,Emergency,Available
B00105,F01653,Oncology,Private,Occupied
B00106,F01328,General Medicine,Private,Occupied
B00107,F01029,Pediatrics,Emergency,Available
B00108,F01612,General Medicine,ICU,Occupied
B00109,F00803,Pediatrics,ICU,Occupied
B00110,F01373,Cardiology,Private,Occupied
B00111,F00400,Neurology,Private,Available
B00112,F00595,General Medicine,General,Available
B00113,F01457,General Medicine,ICU,Occupied
B00114,F01596,Neurology,Emergency,Occupied
B00115,F01131,Emergency,Private,Available
B00116,F00117,Emergency,Private,Occupied
B00117,F01843,Orthopedics,Private,Occupied
B00118,F00383,General Medicine,Private,Occupied
B00119,F00859,Cardiology,ICU,Available
B00120,F00082,Pediatrics,Private,Occupied
B00121,F01851,Cardiology,ICU,Occupied
B00122,F00832,General Medicine,General,Available
B00123,F00873,Orthopedics,General,Occupied
B00124,F00653,Oncology,Emergency,Occupied
B00125,F00734,Oncology,Private,Available
B00126,F01434,Oncology,Emergency,Occupied
B00127,F00070,General Medicine,ICU,Occupied
B00128,F00387,Oncology,Emergency,Occupied
B00129,F00524,Orthopedics,Emergency,Occupied
B00130,F00297,Neurology,Private,Occupied
B00131,F00617,Pediatrics,ICU,Available
B00132,F00719,Oncology,ICU,Available
B00133,F01089,Oncology,Private,Occupied
B00134,F01599,Oncology,ICU,Occupied
B00135,F00178,Cardiology,General,Occupied
B00136,F01967,Orthopedics,Private,Available
B00137,F01032,Cardiology,Private,Available
B00138,F01183,Dermatology,Private,Occupied
B00139,F00011,Neurology,General,Occupied
B00140,F00785,General Medicine,ICU,Occupied
B00141,F00411,Orthopedics,General,Available
B00142,F00892,Pediatrics,General,Occupied
B00143,F00607,Dermatology,General,Occupied
B00144,F00155,Orthopedics,Emergency,Occupied
B00145,F01230,Emergency,ICU,Occupied
B00146,F01139,General Medicine,ICU,Occupied
B00147,F01403,General Medicine,Private,Occupied
B00148,F00599,Pediatrics,Private,Occupied
B00149,F00824,Pediatrics,Emergency,Occupied
B00150,F01733,Neurology,General,Occupied
B00151,F00350,Dermatology,Private,Occupied
B00152,F01122,Dermatology,ICU,Available
B00153,F00943,Cardiology,Private,Available
B00154,F00019,Oncology,General,Available
B00155,F00313,Orthopedics,Emergency,Occupied
B00156,F00927,Neurology,General,Available
B00157,F00528,Cardiology,Private,Occupied
B00158,F00557,Dermatology,Emergency,Occupied
B00159,F01691,Oncology,Emergency,Occupied
B00160,F00445,Oncology,General,Occupied
B00161,F01946,Neurology,Private,Occupied
B00162,F00231,Emergency,General,Occupied
B00163,F01693,Pediatrics,Private,Occupied
B00164,F00625,Pediatrics,Private,Occupied
B00165,F01011,General Medicine,ICU,Available
B00166,F00889,Oncology,Emergency,Occupied
B00167,F00359,Orthopedics,Private,Available
B00168,F01407,Orthopedics,General,Occupied
B00169,F01536,Orthopedics,General,Occupied
B00170,F00044,Neurology,ICU,Available
B00171,F01389,Neurology,ICU,Occupied
B00172,F01949,Orthopedics,ICU,Available
B00173,F00877,General Medicine,Emergency,Occupied
B00174,F01646,Cardiology,ICU,Occupied
B00175,F01135,Emergency,Emergency,Occupied
B00176,F00223,Neurology,ICU,Available
B00177,F01410,Orthopedics,Emergency,Occupied
B00178,F00902,Pediatrics,Private,Occupied
B00179,F01289,Neurology,ICU,Available
B00180,F00271,Cardiology,Emergency,Occupied
B00181,F00212,Neurology,Private,Available
B00182,F01520,Cardiology,ICU,Occupied
B00183,F01338,Cardiology,Private,Occupied
B00184,F01794,Neurology,ICU,Occupied
B00185,F01411,Cardiology,General,Occupied
B00186,F00247,Oncology,Emergency,Available
B00187,F00948,Neurology,General,Occupied
B00188,F01591,Neurology,Emergency,Occupied
B00189,F00821,General Medicine,General,Maintenance
B00190,F01374,Pediatrics,ICU,Occupied
B00191,F00072,Oncology,General,Available
B00192,F01320,Emergency,ICU,Available
B00193,F01237,Oncology,Emergency,Available
B00194,F00295,Cardiology,ICU,Available
B00195,F00171,Oncology,General,Occupied
B00196,F00246,Neurology,Private,Available
B00197,F01165,Cardiology,Emergency,Occupied
B00198,F01640,Neurology,Private,Available
B00199,F00617,Emergency,Private,Occupied
B00200,F00240,Dermatology,Private,Available
B00201,F01957,Neurology,Private,Available
B00202,F00311,Neurology,Private,Occupied
B00203,F01440,Pediatrics,General,Occupied
B00204,F00398,Cardiology,ICU,Available
B00205,F01857,Pediatrics,ICU,Occupied
B00206,F00923,Oncology,Private,Occupied
B00207,F00792,Oncology,General,Occupied
B00208,F01907,Pediatrics,Private,Occupied
B00209,F01905,Oncology,Private,Occupied
B00210,F00022,Dermatology,Emergency,Occupied
B00211,F01102,Oncology,General,Occupied
B00212,F00813,Dermatology,Private,Occupied
B00213,F00904,Pediatrics,ICU,Occupied
B00214,F01499,Pediatrics,Emergency,Occupied
B00215,F01731,General Medicine,Private,Occupied
B00216,F00832,Cardiology,Private,Occupied
B00217,F01377,Cardiology,Private,Occupied
B00218,F01395,Neurology,General,Available
B00219,F01967,Cardiology,Private,Occupied
B00220,F01045,Emergency,ICU,Occupied
B00221,F00507,Pediatrics,Emergency,Occupied
B00222,F00160,Orthopedics,General,Available
B00223,F00744,Dermatology,Emergency,Occupied
B00224,F01385,Cardiology,ICU,Available
B00225,F00813,Dermatology,Private,Occupied
B00226,F01580,Dermatology,General,Occupied
B00227,F01321,Orthopedics,Private,Maintenance
B00228,F01376,Oncology,General,Occupied
B00229,F00180,Dermatology,Private,Available
B00230,F01496,Emergency,ICU,Available
B00231,F01419,General Medicine,ICU,Available
B00232,F01637,Neurology,Private,Available
B00233,F01651,Neurology,ICU,Occupied
B00234,F00213,Neurology,Private,Occupied
B00235,F00530,General Medicine,General,Occupied
B00236,F01419,Pediatrics,ICU,Maintenance
B00237,F00027,Dermatology,General,Occupied
B00238,F00939,Orthopedics,Private,Occupied
B00239,F00870,Cardiology,General,Available
B00240,F01473,Pediatrics,Emergency,Occupied
B00241,F00438,Neurology,Private,Occupied
B00242,F00285,Oncology,ICU,Available
B00243,F00661,Neurology,ICU,Occupied
B00244,F01821,Dermatology,Emergency,Occupied
B00245,F00649,Pediatrics,Private,Occupied
B00246,F00189,Orthopedics,Private,Occupied
B00247,F01726,Pediatrics,Private,Occupied
B00248,F01223,General Medicine,Private,Occupied
B00249,F01126,Neurology,General,Occupied
B00250,F00479,Orthopedics,Private,Occupied
B00251,F00603,Oncology,General,Occupied
B00252,F01015,Dermatology,General,Occupied
B00253,F01248,Cardiology,ICU,Occupied
B00254,F00517,Dermatology,Private,Occupied
B00255,F01889,Oncology,General,Occupied
B00256,F01551,Oncology,Private,Occupied
B00257,F01465,Neurology,Emergency,Available
B00258,F01541,Dermatology,General,Available
B00259,F00916,Pediatrics,ICU,Occupied
B00260,F00230,Orthopedics,Private,Available
B00261,F00869,Neurology,ICU,Occupied
B00262,F01873,Cardiology,General,Available
B00263,F01138,Cardiology,General,Occupied
B00264,F01540,Emergency,ICU,Available
B00265,F01208,Pediatrics,Private,Occupied
B00266,F01749,General Medicine,General,Occupied
B00267,F00759,Oncology,Emergency,Available
B00268,F00034,Pediatrics,ICU,Occupied
B00269,F00296,Orthopedics,General,Available
B00270,F00453,Pediatrics,Private,Occupied
B00271,F01732,Orthopedics,General,Occupied
B00272,F01529,Emergency,Private,Available
B00273,F01430,Oncology,Private,Occupied
B00274,F01151,Oncology,General,Occupied
B00275,F00142,Emergency,Emergency,Available
B00276,F01988,Emergency,Private,Available
B00277,F00648,General Medicine,ICU,Occupied
B00278,F00128,Emergency,Private,Available
B00279,F00835,Pediatrics,Private,Maintenance
B00280,F01710,Cardiology,Emergency,Occupied
B00281,F00925,Orthopedics,Private,Available
B00282,F00730,Dermatology,General,Occupied
B00283,F01650,Orthopedics,Emergency,Available
B00284,F01911,Cardiology,Private,Occupied
B00285,F01374,Oncology,General,Available
B00286,F01548,Dermatology,General,Available
B00287,F00463,Pediatrics,Private,Occupied
B00288,F01268,General Medicine,ICU,Occupied
B00289,F00564,Neurology,ICU,Available
B00290,F01210,Pediatrics,Private,Available
B00291,F01257,Emergency,Private,Occupied
B00292,F00514,Dermatology,General,Available
B00293,F00001,Oncology,Private,Occupied
B00294,F01263,Pediatrics,Private,Available
B00295,F01079,Orthopedics,General,Occupied
B00296,F01519,Orthopedics,Private,Occupied
B00297,F01756,General Medicine,Private,Occupied
B00298,F01640,Emergency,Private,Occupied
B00299,F01891,Dermatology,General,Available
B00300,F01442,General Medicine,Private,Occupied
B00301,F01472,General Medicine,ICU,Available
