facility_id,facility_name,city,facility_type,total_beds
F00001,Healthcare Facility 1,Gwalior,Hospital,385
F00002,Healthcare Facility 2,Agra,Diagnostic Center,391
F00003,Healthcare Facility 3,Agra,Specialty Center,41
F00004,Healthcare Facility 4,Agra,Hospital,164
F00005,Healthcare Facility 5,Agra,Hospital,180
F00006,Healthcare Facility 6,Agra,Clinic,268
F00007,Healthcare Facility 7,Jhansi,Clinic,194
F00008,Healthcare Facility 8,Jaipur,Clinic,107
F00009,Healthcare Facility 9,Morena,Diagnostic Center,418
F00010,Healthcare Facility 10,Delhi,Hospital,496
F00011,Healthcare Facility 11,Bhopal,Diagnostic Center,499
F00012,Healthcare Facility 12,Indore,Hospital,52
F00013,Healthcare Facility 13,Jaipur,Specialty Center,496
F00014,Healthcare Facility 14,Agra,Diagnostic Center,290
F00015,Healthcare Facility 15,Delhi,Hospital,302
F00016,Healthcare Facility 16,Bhopal,Clinic,245
F00017,Healthcare Facility 17,Gwalior,Clinic,464
F00018,Healthcare Facility 18,Jhansi,Specialty Center,471
F00019,Healthcare Facility 19,Jhansi,Diagnostic Center,131
F00020,Healthcare Facility 20,Jaipur,Hospital,101
F00021,Healthcare Facility 21,Gwalior,Clinic,232
F00022,Healthcare Facility 22,Delhi,Hospital,323
F00023,Healthcare Facility 23,Morena,Diagnostic Center,27
F00024,Healthcare Facility 24,Morena,Clinic,153
F00025,Healthcare Facility 25,Jhansi,Specialty Center,466
F00026,Healthcare Facility 26,Delhi,Specialty Center,137
F00027,Healthcare Facility 27,Indore,Diagnostic Center,103
F00028,Healthcare Facility 28,Indore,Diagnostic Center,277
F00029,Healthcare Facility 29,Morena,Hospital,262
F00030,Healthcare Facility 30,Indore,Specialty Center,256
F00031,Healthcare Facility 31,Morena,Diagnostic Center,169
F00032,Healthcare Facility 32,Gwalior,Diagnostic Center,393
F00033,Healthcare Facility 33,Indore,Specialty Center,40
F00034,Healthcare Facility 34,Morena,Hospital,153
F00035,Healthcare Facility 35,Morena,Hospital,398
F00036,Healthcare Facility 36,Delhi,Specialty Center,115
F00037,Healthcare Facility 37,Morena,Specialty Center,473
F00038,Healthcare Facility 38,Indore,Specialty Center,32
F00039,Healthcare Facility 39,Jhansi,Specialty Center,20
F00040,Healthcare Facility 40,Jhansi,Specialty Center,169
F00041,Healthcare Facility 41,Indore,Diagnostic Center,136
F00042,Healthcare Facility 42,Jaipur,Clinic,171
F00043,Healthcare Facility 43,Agra,Specialty Center,83
F00044,Healthcare Facility 44,Agra,Clinic,444
F00045,Healthcare Facility 45,Delhi,Hospital,497
F00046,Healthcare Facility 46,Agra,Diagnostic Center,169
F00047,Healthcare Facility 47,Gwalior,Clinic,336
F00048,Healthcare Facility 48,Jaipur,Hospital,383
F00049,Healthcare Facility 49,Jaipur,Hospital,31
F00050,Healthcare Facility 50,Delhi,Hospital,109
F00051,Healthcare Facility 51,Indore,Specialty Center,407
F00052,Healthcare Facility 52,Morena,Diagnostic Center,102
F00053,Healthcare Facility 53,Agra,Hospital,483
F00054,Healthcare Facility 54,Gwalior,Specialty Center,269
F00055,Healthcare Facility 55,Indore,Clinic,403
F00056,Healthcare Facility 56,Delhi,Diagnostic Center,415
F00057,Healthcare Facility 57,Indore,Clinic,52
F00058,Healthcare Facility 58,Delhi,Clinic,168
F00059,Healthcare Facility 59,Morena,Specialty Center,147
F00060,Healthcare Facility 60,Bhopal,Clinic,119
F00061,Healthcare Facility 61,Jhansi,Diagnostic Center,476
F00062,Healthcare Facility 62,Agra,Clinic,381
F00063,Healthcare Facility 63,Gwalior,Specialty Center,347
F00064,Healthcare Facility 64,Delhi,Hospital,231
F00065,Healthcare Facility 65,Indore,Specialty Center,93
F00066,Healthcare Facility 66,Agra,Hospital,115
F00067,Healthcare Facility 67,Indore,Clinic,111
F00068,Healthcare Facility 68,Gwalior,Hospital,349
F00069,Healthcare Facility 69,Jaipur,Specialty Center,347
F00070,Healthcare Facility 70,Jaipur,Specialty Center,455
F00071,Healthcare Facility 71,Jhansi,Diagnostic Center,194
F00072,Healthcare Facility 72,Jhansi,Diagnostic Center,244
F00073,Healthcare Facility 73,Gwalior,Hospital,334
F00074,Healthcare Facility 74,Jhansi,Hospital,194
F00075,Healthcare Facility 75,Jaipur,Diagnostic Center,75
F00076,Healthcare Facility 76,Delhi,Clinic,288
F00077,Healthcare Facility 77,Agra,Diagnostic Center,447
F00078,Healthcare Facility 78,Gwalior,Clinic,54
F00079,Healthcare Facility 79,Delhi,Hospital,138
F00080,Healthcare Facility 80,Agra,Hospital,390
F00081,Healthcare Facility 81,Agra,Specialty Center,432
F00082,Healthcare Facility 82,Delhi,Specialty Center,75
F00083,Healthcare Facility 83,Agra,Clinic,408
F00084,Healthcare Facility 84,Bhopal,Clinic,470
F00085,Healthcare Facility 85,Gwalior,Diagnostic Center,328
F00086,Healthcare Facility 86,Gwalior,Clinic,376
F00087,Healthcare Facility 87,Agra,Hospital,395
F00088,Healthcare Facility 88,Delhi,Hospital,335
F00089,Healthcare Facility 89,Morena,Hospital,124
F00090,Healthcare Facility 90,Jhansi,Specialty Center,409
F00091,Healthcare Facility 91,Jaipur,Clinic,195
F00092,Healthcare Facility 92,Agra,Clinic,125
F00093,Healthcare Facility 93,Morena,Specialty Center,99
F00094,Healthcare Facility 94,Agra,Specialty Center,182
F00095,Healthcare Facility 95,Morena,Specialty Center,421
F00096,Healthcare Facility 96,Agra,Hospital,286
F00097,Healthcare Facility 97,Delhi,Clinic,70
F00098,Healthcare Facility 98,Jaipur,Diagnostic Center,396
F00099,Healthcare Facility 99,Indore,Diagnostic Center,298
F00100,Healthcare Facility 100,Indore,Clinic,322
F00101,Healthcare Facility 101,Morena,Clinic,94
F00102,Healthcare Facility 102,Jhansi,Specialty Center,462
F00103,Healthcare Facility 103,Jhansi,Specialty Center,460
